adv,toxic,grammar,similarity,scale,test loss
0.801,0.99,0.917,0.7024,100,0.779028701
0.801,0.99,0.917,0.7057,100,0.806109342
0.801,0.99,0.917,0.6714,100,0.871874565
0.801,0.99,0.917,0.6612,100,0.756478935
0.801,0.99,0.917,0.6552,100,0.64072583
0.801,0.99,0.917,0.5689,100,0.590902096
0.801,0.99,0.917,0.7024,200,0.771820295
0.801,0.99,0.917,0.7057,200,0.814355401
0.801,0.99,0.917,0.6714,200,0.868508935
0.801,0.99,0.917,0.6612,200,0.747661738
0.801,0.99,0.917,0.6552,200,0.6301604
0.801,0.99,0.917,0.5689,200,0.584883155
0.801,0.99,0.917,0.7024,300,0.76779134
0.801,0.99,0.917,0.7057,300,0.806002765
0.801,0.99,0.917,0.6714,300,0.85888543
0.801,0.99,0.917,0.6612,300,0.738374122
0.801,0.99,0.917,0.6552,300,0.620710352
0.801,0.99,0.917,0.5689,300,0.574322352
0.801,0.99,0.917,0.7024,400,0.766440948
0.801,0.99,0.917,0.7057,400,0.803543989
0.801,0.99,0.917,0.6714,400,0.846290689
0.801,0.99,0.917,0.6612,400,0.731835863
0.801,0.99,0.917,0.6552,400,0.621101563
0.801,0.99,0.917,0.5689,400,0.574131245
0.801,0.99,0.917,0.7024,500,0.767616397
0.801,0.99,0.917,0.7057,500,0.799192966
0.801,0.99,0.917,0.6714,500,0.840329777
0.801,0.99,0.917,0.6612,500,0.723136248
0.801,0.99,0.917,0.6552,500,0.609958643
0.801,0.99,0.917,0.5689,500,0.565381911
0.801,0.99,0.917,0.7024,650,0.754079606
0.801,0.99,0.917,0.7057,650,0.793452731
0.801,0.99,0.917,0.6714,650,0.83793773
0.801,0.99,0.917,0.6612,650,0.721485476
0.801,0.99,0.917,0.6552,650,0.60920542
0.801,0.99,0.917,0.5689,650,0.562927013
0.653,1,0.975,0.7374,5.2429,0.911538474
0.653,1,0.975,0.7417,5.2429,0.972034579
0.653,1,0.975,0.6677,5.2429,1.043737084
0.653,1,0.975,0.657,5.2429,0.602826978
0.653,1,0.975,0.6505,5.2429,0.605842432
0.653,1,0.975,0.5563,5.2429,0.717960265
0.653,1,0.975,0.7374,10.4858,0.893303564
0.653,1,0.975,0.7417,10.4858,0.9484018
0.653,1,0.975,0.6677,10.4858,1.058856813
0.653,1,0.975,0.657,10.4858,0.586631653
0.653,1,0.975,0.6505,10.4858,0.579767822
0.653,1,0.975,0.5563,10.4858,0.74137055
0.653,1,0.975,0.7374,15.7287,0.878576134
0.653,1,0.975,0.7417,15.7287,0.928281425
0.653,1,0.975,0.6677,15.7287,1.033506288
0.653,1,0.975,0.657,15.7287,0.577694468
0.653,1,0.975,0.6505,15.7287,0.556903125
0.653,1,0.975,0.5563,15.7287,0.745101184
0.653,1,0.975,0.7374,20.9716,0.858229026
0.653,1,0.975,0.7417,20.9716,0.904307836
0.653,1,0.975,0.6677,20.9716,1.037924814
0.653,1,0.975,0.657,20.9716,0.577541626
0.653,1,0.975,0.6505,20.9716,0.538831494
0.653,1,0.975,0.5563,20.9716,0.747233368
0.653,1,0.975,0.7374,26.2145,0.858551343
0.653,1,0.975,0.7417,26.2145,0.902947124
0.653,1,0.975,0.6677,26.2145,1.044572896
0.653,1,0.975,0.657,26.2145,0.570948765
0.653,1,0.975,0.6505,26.2145,0.531154443
0.653,1,0.975,0.5563,26.2145,0.741646278
0.653,1,0.975,0.7374,28.836,0.851667339
0.653,1,0.975,0.7417,28.836,0.89463125
0.653,1,0.975,0.6677,28.836,1.043879849
0.653,1,0.975,0.657,28.836,0.563395259
0.653,1,0.975,0.6505,28.836,0.529332813
0.653,1,0.975,0.5563,28.836,0.741032484
0.993,1,0.916,0.6634,0.1049,2.683575249
0.993,1,0.916,0.6567,0.1049,2.772554361
0.993,1,0.916,0.6827,0.1049,1.199683036
0.993,1,0.916,0.7524,0.1049,0.535595944
0.993,1,0.916,0.7477,0.1049,0.605980029
0.993,1,0.916,0.6211,0.1049,0.84820659
0.993,1,0.916,0.6634,0.0525,2.668946945
0.993,1,0.916,0.6567,0.0525,2.757587373
0.993,1,0.916,0.6827,0.0525,1.18585817
0.993,1,0.916,0.7524,0.0525,0.541177676
0.993,1,0.916,0.7477,0.0525,0.627682813
0.993,1,0.916,0.6211,0.0525,0.885115554
